Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,Doxorubicin_2,10,10,10,0.625,0.0097655,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Doxorubicin_2,0,2,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,10,9,0.625,0.019531,NA,1,0.753062818361833,0.246937181638167,0.753062818361833,0.327910468578622,Doxorubicin_2,0.019531,2,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,10,8,0.625,0.039062,NA,1,0.501181478347223,0.498818521652777,0.501181478347223,0.995285227414551,Doxorubicin_2,0.039062,2,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,10,7,0.625,0.078125,NA,1,0.224463306447723,0.775536693552277,0.224463306447723,3.45507114648558,Doxorubicin_2,0.078125,2,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,10,6,0.625,0.15625,NA,1,0.112784254496362,0.887215745503638,0.112784254496362,7.8664858801922,Doxorubicin_2,0.15625,2,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,10,10,0.625,0.0097655,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,5,10,1.25,0.0097655,NA,1,0.840420849390082,0.159579150609918,0.840420849390082,0.189880047271232,Tazemetostat_1,1.25,1,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,4,10,2.5,0.0097655,NA,1,0.853542148451375,0.146457851548625,0.853542148451375,0.171588306229927,Tazemetostat_1,2.5,1,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,3,10,5,0.0097655,NA,1,0.808224314856605,0.191775685143395,0.808224314856605,0.23728027184807,Tazemetostat_1,5,1,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,2,10,10,0.0097655,NA,1,0.688063856427201,0.311936143572799,0.688063856427201,0.453353479708323,Tazemetostat_1,10,1,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Doxorubicin_2,10,1,10,20,0.0097655,NA,1,0.702414932086074,0.297585067913926,0.702414932086074,0.423659939902103,Tazemetostat_1,20,1,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,10,0.625,0.0625,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,JQ1_2,0,2,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,5,0.625,0.125,NA,1,0.99,0.01,0.99,0.0101010101010101,JQ1_2,0.125,2,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,4,0.625,0.25,NA,1,0.889301151168082,0.110698848831918,0.889301151168082,0.124478472434807,JQ1_2,0.25,2,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,3,0.625,0.5,NA,1,0.475500908626671,0.524499091373329,0.475500908626671,1.10304540297972,JQ1_2,0.5,2,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,2,0.625,1,NA,1,0.187507775458739,0.812492224541261,0.187507775458739,4.33311217390049,JQ1_2,1,2,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,1,0.625,2,NA,1,0.0509912753211102,0.94900872467889,0.0509912753211102,18.6111980667799,JQ1_2,2,2,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,10,10,0.625,0.0625,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,5,10,1.25,0.0625,NA,1,0.99065271480485,0.00934728519514993,0.99065271480485,0.00943548133009585,Tazemetostat_1,1.25,1,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,11,4,10,2.5,0.0625,NA,1,0.999586206835831,0.000413793164169118,0.999586206835831,0.000413964459832806,Tazemetostat_1,2.5,1,1.25,20,0.125,2,EOL1_ASSAY_ID_10946
